id,fuel,passengers,planesAtThatTime,priority,timeToArrive,timeWaited
SingapureAirlines3,21.0,40,15,0,0,1
Ryanair4,29.0,40,13,3,10,0
Ryanair4,28.0,40,14,3,9,0
Ryanair4,27.0,40,14,3,8,0
Ryanair4,26.0,40,15,3,7,0
Ryanair4,25.0,40,12,3,6,0
Ryanair4,24.0,40,13,3,5,0
Ryanair4,23.0,40,13,3,4,0
Ryanair4,22.0,40,14,3,3,0
Ryanair4,21.0,40,13,3,2,0
Ryanair4,20.0,40,14,3,1,0
Ryanair4,19.0,40,14,3,0,0
SingapureAirlines4,26.0,40,13,2,10,1
SingapureAirlines4,25.0,40,13,2,9,1
SingapureAirlines4,24.0,40,15,2,8,1
SingapureAirlines4,23.0,40,15,2,7,1
SingapureAirlines4,22.0,40,13,2,6,1
SingapureAirlines4,21.0,40,13,2,5,1
SingapureAirlines4,20.0,40,13,2,4,1
SingapureAirlines4,19.0,40,15,2,3,1
SingapureAirlines4,18.0,40,15,2,2,1
SingapureAirlines4,17.0,40,15,2,1,1
SingapureAirlines4,16.0,40,14,2,0,1
SingapureAirlines4,15.0,40,14,2,0,1
Emirates5,23.0,40,13,1,10,3
Emirates5,22.0,40,13,1,9,3
Emirates5,21.0,40,14,1,8,3
Emirates5,20.0,40,15,1,7,3
Emirates5,19.0,40,15,1,6,3
Emirates5,18.0,40,12,1,5,3
Emirates5,17.0,40,13,1,4,3
Emirates5,16.0,40,13,1,3,3
Emirates5,15.0,40,14,1,2,3
Emirates5,14.0,40,13,1,1,3
Emirates5,13.0,40,14,1,0,3
Emirates5,12.0,40,14,1,0,3
Emirates5,11.0,40,13,1,0,3
Emirates5,10.0,40,14,1,0,3
TAP5,34.0,40,14,4,10,0
TAP5,33.0,40,12,4,9,0
TAP5,32.0,40,13,4,8,0
TAP5,31.0,40,13,4,7,0
TAP5,30.0,40,14,4,6,0
TAP5,29.0,40,13,4,5,0
TAP5,28.0,40,14,4,4,0
TAP5,27.0,40,14,4,3,0
TAP5,26.0,40,13,4,2,0
TAP5,25.0,40,14,4,1,0
TAP5,24.0,40,14,4,0,0
Luftansa5,33.0,40,13,0,10,2
Luftansa5,32.0,40,15,0,9,2
Luftansa5,31.0,40,14,0,8,2
Luftansa5,30.0,40,12,0,7,2
Luftansa5,29.0,40,13,0,6,2
Luftansa5,28.0,40,13,0,5,2
Luftansa5,27.0,40,14,0,4,2
Luftansa5,26.0,40,13,0,3,2
Luftansa5,25.0,40,14,0,2,2
Luftansa5,24.0,40,14,0,1,2
Luftansa5,23.0,40,13,0,0,2
Luftansa5,22.0,40,14,0,0,2
Luftansa5,21.0,40,14,0,0,2
SingapureAirlines5,21.0,40,12,4,10,0
SingapureAirlines5,20.0,40,13,4,9,0
SingapureAirlines5,19.0,40,15,4,8,0
SingapureAirlines5,18.0,40,15,4,7,0
SingapureAirlines5,17.0,40,14,4,6,0
SingapureAirlines5,16.0,40,14,4,5,0
SingapureAirlines5,15.0,40,14,4,4,0
SingapureAirlines5,14.0,40,14,4,3,0
SingapureAirlines5,13.0,40,14,4,2,0
SingapureAirlines5,12.0,40,14,4,1,0
SingapureAirlines5,11.0,40,14,4,0,0
Luftansa4,17.0,40,14,2,10,4
Luftansa4,16.0,40,14,2,9,4
Luftansa4,15.0,40,15,2,8,4
Luftansa4,14.0,40,12,2,7,4
Luftansa4,13.0,40,13,2,6,4
Luftansa4,12.0,40,15,2,5,4
Luftansa4,11.0,40,14,2,4,4
Luftansa4,10.0,40,13,2,3,4
Luftansa4,9.0,40,14,2,2,4
Luftansa4,8.0,40,14,2,1,4
Luftansa4,7.0,40,14,2,0,4
Luftansa4,6.0,40,14,2,0,4
Luftansa4,5.0,40,14,2,0,4
Luftansa4,4.0,40,14,2,0,4
Luftansa4,3.0,40,14,2,0,4
QatarAirways6,27.0,40,14,2,9,0
QatarAirways6,26.0,40,14,2,8,0
QatarAirways6,25.0,40,13,2,7,0
QatarAirways6,24.0,40,14,2,6,0
QatarAirways6,23.0,40,14,2,5,0
QatarAirways6,22.0,40,14,2,4,0
QatarAirways6,21.0,40,14,2,3,0
QatarAirways6,20.0,40,14,2,2,0
QatarAirways6,19.0,40,14,2,1,0
QatarAirways6,18.0,40,14,2,0,0
AmericanAirlines5,15.0,40,11,1,10,2
AmericanAirlines5,14.0,40,13,1,9,2
AmericanAirlines5,13.0,40,13,1,8,2
AmericanAirlines5,12.0,40,14,1,7,2
AmericanAirlines5,11.0,40,13,1,6,2
AmericanAirlines5,10.0,40,14,1,5,2
AmericanAirlines5,9.0,40,14,1,4,2
AmericanAirlines5,8.0,40,13,1,3,2
AmericanAirlines5,7.0,40,14,1,2,2
AmericanAirlines5,6.0,40,14,1,1,2
AmericanAirlines5,5.0,40,14,1,0,2
AmericanAirlines5,4.0,40,14,1,0,2
AmericanAirlines5,3.0,40,13,1,0,2
QatarAirways5,15.0,40,14,2,10,0
QatarAirways5,14.0,40,13,2,9,0
QatarAirways5,13.0,40,14,2,8,0
QatarAirways5,12.0,40,14,2,7,0
QatarAirways5,11.0,40,14,2,6,0
QatarAirways5,10.0,40,14,2,5,0
QatarAirways5,9.0,40,14,2,4,0
QatarAirways5,8.0,40,14,2,3,0
QatarAirways5,7.0,40,14,2,2,0
QatarAirways5,6.0,40,15,2,1,0
QatarAirways5,5.0,40,15,2,0,0
Emirates4,15.0,40,13,1,10,1
Emirates4,14.0,40,14,1,9,1
Emirates4,13.0,40,13,1,8,1
Emirates4,12.0,40,14,1,7,1
Emirates4,11.0,40,14,1,6,1
Emirates4,10.0,40,14,1,5,1
Emirates4,9.0,40,14,1,4,1
Emirates4,8.0,40,14,1,3,1
Emirates4,7.0,40,14,1,2,1
Emirates4,6.0,40,14,1,1,1
Emirates4,5.0,40,15,1,0,1
Emirates4,4.0,40,15,1,0,1
AirAsia5,30.0,40,13,2,10,0
AirAsia5,29.0,40,14,2,9,0
AirAsia5,28.0,40,14,2,8,0
AirAsia5,27.0,40,14,2,7,0
AirAsia5,26.0,40,14,2,6,0
AirAsia5,25.0,40,14,2,5,0
AirAsia5,24.0,40,14,2,4,0
AirAsia5,23.0,40,14,2,3,0
AirAsia5,22.0,40,15,2,2,0
AirAsia5,21.0,40,15,2,1,0
AirAsia5,20.0,40,14,2,0,0
AirAsia4,18.0,40,14,2,10,2
AirAsia4,17.0,40,14,2,9,2
AirAsia4,16.0,40,14,2,8,2
AirAsia4,15.0,40,14,2,7,2
AirAsia4,14.0,40,14,2,6,2
AirAsia4,13.0,40,14,2,5,2
AirAsia4,12.0,40,14,2,4,2
AirAsia4,11.0,40,14,2,3,2
AirAsia4,10.0,40,15,2,2,2
AirAsia4,9.0,40,15,2,1,2
AirAsia4,8.0,40,14,2,0,2
